ID,District,Polling Station,Eastings,Northings,Area,Perimeter,lat,lng
34,RD,St Marks Church Hall,530238.45600,162513.15500,657289.00600,6449.98000,51.34678582937511,-0.1313277202121587
35,RA,Bandon Hill Primary School,530094.37800,163756.16500,768075.83200,6718.79300,51.35798962523486,-0.1329412388515993
36,RC,Wallington High School for Girls,529447.40300,162640.89000,561151.59000,5062.50100,51.34811435546867,-0.14263330779302721
37,IA,Overton Road Pavilion I,525239.09600,163125.46200,116217.78100,2531.88900,51.35341152677568,-0.20285767803119514
38,IB,St Johns Church Hall,525265.83800,162592.82500,798203.77300,5636.86300,51.348618686749475,-0.20266117620795257
39,IC,Shanklin Childrens Centre,525790.53500,162674.48200,111891.41900,1920.75300,51.349236758684285,-0.19510214179427204
4,FA,St Albans Church Hall,524786.01000,164569.48800,669446.16400,3651.19900,51.36648899882827,-0.20885469262312778
40,ID,Chiltern Church I,526296.15600,162451.60600,1301890.06200,5856.06200,51.34712167894921,-0.1879246614173233
41,MA,The Scout Hall I,527107.57800,164693.49000,667635.44700,4091.52700,51.367089024964216,-0.1754796745665463
42,MB,Highfield Hall I,527357.99200,164133.13300,577627.72900,4940.02800,51.361996991596634,-0.17208498173627862
44,MC,All Saints Primary School,528001.95900,164357.23900,781925.90000,5333.58500,51.36386641611699,-0.1627599535254904
45,NB,Stanley Park Junior School,527949.70000,163046.09200,1116262.60600,5954.05700,51.352094822305865,-0.1639813887143541
46,NA,Barrow Hedges Primary School II,527214.17400,162669.24000,1159911.28700,6907.49700,51.34887301142698,-0.17467255946584942
47,NC,The Café,528086.87500,161533.33100,3522660.42200,9180.01600,51.33846864907823,-0.16255645351690337
48,ND,Hillcrest Hall,528741.59500,160334.34500,1262120.09100,5439.92200,51.32754554018568,-0.15359545950915124
49,BA,Cheam Common Infants School,522764.52900,165350.52600,525555.91600,4503.07400,51.373948688417805,-0.2376083665123791
5,FB,Homefield Preparatory School,525152.33600,163945.66600,840535.75700,4790.39200,51.36080201590887,-0.20381464629914506
50,BB,Cuddington Recreation Pavillion,522610.64700,164888.84700,546788.34400,3545.92600,51.36983260970985,-0.23997719584025656
51,BC,Cheam Leisure Centre,523680.64200,164807.24400,837334.06500,4945.20100,51.36886738206338,-0.22464215359698433
52,CC,Sutton Life Centre,525063.08900,166414.64400,583770.36600,4279.93800,51.3830109614666,-0.20422784879997768
53,CB,North Cheam Baptist Church,524625.53800,166212.62600,437949.60900,4276.74900,51.381291531078766,-0.21058293229416022
54,CA,Cheam Park Farm Infants,524452.22200,165523.53300,962378.13400,4406.53000,51.375136455050594,-0.2133132277404187
55,GA,Robin Hood Junior School,525607.47300,164446.45500,393366.65800,3985.48900,51.36520234545454,-0.19710427042454184
56,GB,The Thomas Wall Centre,526043.53900,164652.02300,368776.26900,2757.36500,51.36695329996089,-0.19077100657603277
57,GC,St Barnabas Church Hall I,526422.65900,164351.21700,546759.43000,4555.23400,51.364165713654536,-0.18543477676045028
58,EC,Westbourne Primary School,525193.25600,165129.44600,166904.45500,1736.67400,51.371431926880156,-0.2028107701143374
59,EA,Holy Family Hall,525565.61500,165632.88800,786437.49600,4306.61100,51.37587431601137,-0.19728647724751927
6,FC,Overton Road Pavillion II,525335.06600,163528.75700,274145.61300,4402.99300,51.35701489798347,-0.20133826416342124
60,EB,All Saints Benhilton C of E Primary School,526207.35200,165545.47700,929801.51700,4575.00100,51.374946568855805,-0.1881021596647195
61,JA,Abbey Primary School,525718.07200,166601.78100,339200.33200,2446.91200,51.38454822461467,-0.1947546260464936
62,JB,Hill House,526319.91400,166670.56000,224924.53800,2243.55600,51.38503283646936,-0.18608611892769814
65,JD,Bishop Andrewes Church Hall,526998.89200,166018.53000,518978.49200,3159.30900,51.37902159084252,-0.17656702789344264
8,HB,Christchurch Community Hall,526334.98900,163499.47600,691931.78600,4351.97500,51.356530460127935,-0.18699567040737222
11,KB,The Circle Library,527206.26200,166817.45800,247534.45200,2296.36700,51.38615522421398,-0.17330316361805068
63,JC,David Weir Leisure Centre,526681.55400,166438.63300,401805.07700,3343.16800,51.38286794817935,-0.18097460702331486
9,HA,Sports Pavillion I,525648.22400,163294.56100,280236.16000,2752.36400,51.35484101144805,-0.19692578814100703
7,HC,Barrow Hedges,526933.93100,163489.96700,300191.85700,2835.25900,51.35631161436527,-0.1784019307990909
