Wallington North	Desmond John Bowles	Conservative Party	1298	
Wallington North	Gregory George Howard Charles	Labour Party	229	
Wallington North	Jane Elizabeth Pascoe	Conservative Party	1194	
Wallington North	Joan Mary Hartfield	Liberal Democrats	1541	Elected
Wallington North	Kathleen Reeds	Labour Party	244	
Wallington North	Margaret Ali	Liberal Democrats	1451	Elected
Wallington North	Penelope Mouncey	Green Party	242	
Wallington North	Phillip Charles Mouncey	Green Party	217	
Wallington South	Clive Stafford Poge	Labour Party	221	
Wallington South	Colin Christopher Hall	Liberal Democrats	1550	Elected
Wallington South	Hilary Vaughan Wortley	Conservative Party	1224	
Wallington South	Jayne Louise McCoy	Liberal Democrats	1490	Elected
Wallington South	Joyce Smith	Labour Party	189	
Wallington South	Karin Andrews Jashapara	Green Party	210	
Wallington South	Malin Cecilia Andrews	Green Party	339	
Wallington South	Mary Elizabeth Ryan	Labour Party	215	
Wallington South	Owen Jerrold Hanson	Conservative Party	1305	
Wallington South	Peter Charles Wooten	Conservative Party	1247	
Wallington South	Richard Henry Bailey	Liberal Democrats	1575	Elected
Wandle Valley	Brian Yoxall Moss	Conservative Party	525	
Wandle Valley	Charles Walter Edmund Manton	Conservative Party	503	
Wandle Valley	Edward McCauley	Labour Party	453	
Wandle Valley	John William Drage	Liberal Democrats	1206	Elected
Wandle Valley	Margaret Patricia Court	Liberal Democrats	1317	Elected
Wandle Valley	Patricia Anne Simons	Labour Party	416	
Wandle Valley	Patrick Brendan Kane	Liberal Democrats	1172	Elected
Wandle Valley	Patrick Donovan Jaques	Conservative Party	538	
Wandle Valley	Richard Sean Collier	Labour Party	501	
Worcester Park	Graham Hutton	Labour Party	187	
Worcester Park	Helen Alice Senior	Conservative Party	1306	Elected
Worcester Park	Hilary Catherine Hosking	Labour Party	188	
Worcester Park	John Kenneth Evers	Labour Party	176	
Worcester Park	Julian Peter Freeman	Independent	567	
Worcester Park	Leslie Diana Coman	Liberal Democrats	1155	
Worcester Park	Nicola Ann Freeman	Independent	544	
Worcester Park	Peter John Overy	Liberal Democrats	1136	
Worcester Park	Raymond Bunce	Independent	656	
Worcester Park	Richard John Butt	Conservative Party	1398	Elected
Worcester Park	Stuart Osman Gordon-Bullock	Conservative Party	1311	Elected
Worcester Park	Yvonne Pauline Cape	Liberal Democrats	1167	
